msoa,entropy_work,entropy_all,gini,hhi,lq,asymmetry
E02000084,5.669176297111022,5.81103601899728,0.46290106951871657,0.030627126883811383,0.9470095030974338,0.15076923076923077
E02000085,5.547493121998344,5.530992198742864,0.4261083743842365,0.03334126040428062,1.0186211802085934,0.013605442176870748
E02000086,5.882498853669158,5.580578710615796,0.31608739952451037,0.021378321152926722,0.8797473423186171,0.29411764705882354
E02000087,5.614790419125063,5.936580396190255,0.37425435456931516,0.0290780581561163,1.2759769547725301,0.11498257839721254
E02000088,5.669745797284202,5.586401612276769,0.34857142857142853,0.03111111111111112,1.4163474577091717,0.10112359550561797
E02000089,6.062582615311122,5.798932626473279,0.3650306748466257,0.022846174112687724,0.7238170485223576,0.5092592592592593
E02000090,5.879128698397096,5.507380775943468,0.3793988269794722,0.029843912591050986,0.9785025225162792,0.12181303116147309
E02000091,5.832207822562413,5.715067232928539,0.4257489669421488,0.02950671487603306,1.2883225939456864,0.053763440860215055
E02000092,5.248135025709945,6.005251103442546,0.3473563218390805,0.036860879904875146,1.0659613611381276,0.14285714285714285
E02000093,6.200575346742893,6.364066246291798,0.2683733890630442,0.0171028466483012,0.7201520908442232,0.31343283582089554
E02000094,5.782428532243764,6.354869092771244,0.2830790568654646,0.025921387501178252,0.8598741482503518,0.10752688172043011
E02000095,5.659606048933489,5.948709183093725,0.27260179434092474,0.028355387523629493,1.0139966670769094,0.11538461538461539
E02000096,5.763400298681495,6.019186428234346,0.3120031796502385,0.024592159727294862,0.8664217959989705,0.2542372881355932
E02000097,5.274831470466282,6.1896712191719105,0.30654761904761907,0.03356383875864395,1.1600653787322128,0.17557251908396945
E02000098,5.871014064623282,6.112037848497975,0.24955223880597013,0.020200000000000003,1.471196884533257,0.1111111111111111
E02000099,5.3345975346677985,6.629426891746779,0.21204561653599432,0.029830690674549857,1.211850136766849,0.03389830508474576
E02000100,5.122828664259101,6.535665883862685,0.2819940476190476,0.0361328125,2.4136867821934294,0.5
E02000101,5.881532847235642,6.436714247103417,0.26162464985994394,0.021337946943483285,0.7553820175596198,0.18604651162790697
E02000102,5.387754125245523,6.334831565296749,0.2038435140700068,0.028095733610822068,0.6461631905167148,0.4939759036144578
E02000103,5.348394345536402,6.969749275381931,0.20148148148148157,0.027777777777777773,1.3489805469799399,0.22077922077922077
E02000104,5.484719938676914,6.380341612557613,0.22521008403361348,0.026530612244897955,0.9183825553686554,0.029411764705882353
E02000105,5.574054041187681,6.092405350565018,0.22162162162162155,0.025931336742147558,1.0245463982750747,0.1044776119402985
E02000106,5.739945156891805,6.650713901069591,0.24932444604575757,0.021857263615505378,0.7101487738330183,0.2214765100671141
E02000107,5.744748703981254,6.462380709856521,0.15517667407956506,0.02003570720095219,0.8706008253180387,0.3148148148148148
E02000108,5.318394605970922,6.280502677194315,0.2301587301587302,0.02998236331569664,0.7640559930668483,0.5180722891566265
E02000110,5.676747717744964,6.357115402798389,0.14655647382920114,0.02157943067033977,0.7906547087525605,0.43478260869565216
E02000111,5.049012676006526,6.0391906645335816,0.36585365853658536,0.03896490184414039,0.8497096891212275,0.20588235294117646
E02000112,5.328688357104855,6.026411561618718,0.2861333333333333,0.03360000000000001,0.7984109973052378,0.025974025974025976
E02000113,5.48516005877132,6.821537308253854,0.26840131270511014,0.028681301073545898,0.5129848398270617,0.1791044776119403
E02000114,5.258543577121688,6.07895035292094,0.19090909090909086,0.029421487603305783,0.7801423963500259,0.2222222222222222
E02000115,5.26684330352456,6.659564549741331,0.19924812030075195,0.028624192059095107,0.8061672581164718,0.2808988764044944
E02000116,5.60390363355872,6.200409325694139,0.19848721961398016,0.023606427296171385,1.1985303434650625,0.06766917293233082
E02000117,5.946891752675412,6.009460355009353,0.25878636303804137,0.018953620403528687,0.9687290928855935,0.35443037974683544
E02000118,5.291723152900813,6.4146154737655925,0.26763848396501455,0.035510204081632656,1.2487763182195788,0.06060606060606061
E02000119,5.672292620687478,7.100166770162799,0.14045584045584042,0.02106508875739645,1.5535372054041185,0.4820717131474104
E02000120,5.162621420402867,6.624777488563762,0.1840120663650076,0.031141868512110732,0.9878814635773316,0.18604651162790697
E02000121,5.58482046972103,6.1133697404733285,0.31652661064425763,0.0319108035371011,1.0303795150972923,0.0684931506849315
E02000122,5.182786866528775,6.0550120225737745,0.22774659182036894,0.03626634958382879,1.5185744113233115,0.12781954887218044
E02000123,5.451019788878813,6.555678025205731,0.2280095668349721,0.03193810751834952,0.8188507196668284,0.0
E02000124,5.629003731107055,6.7396824373179545,0.18061224489795918,0.02489795918367347,0.8807101210245017,0.04477611940298507
E02000125,5.269146220500345,6.67271725024743,0.22093023255813954,0.029444444444444443,0.7911808925820498,0.3333333333333333
E02000126,5.415061012203069,6.391063553962171,0.17638888888888893,0.028888888888888895,0.9091663873620264,0.3333333333333333
E02000127,6.028119805749521,5.805065125023619,0.354020979020979,0.023257725180802106,0.9026611685595745,0.2631578947368421
E02000128,5.53458743802341,5.427731169045259,0.37218365607112414,0.03820351670079797,0.7412191037056396,0.2727272727272727
E02000130,5.2037841529828865,6.233037351358688,0.2746268656716418,0.03631098240142571,1.1164669227705764,0.07586206896551724
E02000131,5.778055907333277,6.517454464250275,0.1987704918032787,0.020937500000000005,0.9393792262529493,0.0958904109589041
E02000132,5.553083546216041,6.010610306013222,0.2731572723689397,0.031097890751757704,0.8488572796603353,0.10416666666666667
E02000133,5.364332370642739,5.288484153120075,0.4416498993963783,0.049196587978575686,1.3079157085383566,0.26804123711340205
E02000134,6.155944531114782,5.75798154720388,0.2725497159090909,0.0189208984375,0.9545972365810127,0.033962264150943396
E02000135,5.666370130156178,6.100188679257407,0.2976119402985074,0.0294,1.0883621624016966,0.26582278481012656
E02000136,5.767366584729256,5.7415389950092655,0.3276836158192091,0.027434645216891703,1.0639740136269673,0.04065040650406504
E02000137,6.142370046846625,6.1103523082802385,0.25975800156128026,0.018005912389142703,0.71838510661897,0.38636363636363635
E02000138,5.439733407924913,5.830219787942679,0.2890013805798436,0.029744199881023198,1.1387569259263015,0.006134969325153374
E02000139,5.034860930220716,5.962058988239177,0.3014763014763015,0.03627180899908172,0.9608834608460257,0.047619047619047616
E02000140,5.665071508082236,5.289993241529342,0.4441813496761613,0.036920712352567754,0.8405725099888438,0.13815789473684212
E02000141,5.244999224615147,6.193170941836534,0.20843776106934003,0.029855340104647583,0.6990085271310045,0.3103448275862069
E02000142,5.519641488995443,5.61539858639877,0.36579436579436575,0.03157211265319373,0.7503194925742114,0.18085106382978725
E02000144,5.7981349526208215,5.928999277184463,0.3052617835226531,0.023618212807402,0.8961175983103585,0.3816155988857939
E02000145,5.78139758379761,6.056814395492046,0.38331780055917986,0.02478002378121284,0.4808773076944752,0.17408906882591094
E02000146,5.562162086007866,5.604707066869672,0.41157074340527583,0.03545365146731534,0.9551956230152168,0.09448818897637795
E02000147,5.611213790137418,5.359777834828944,0.37351669069535326,0.03416206832413663,0.6341395505507876,0.3804347826086957
E02000148,5.329861959681495,5.60987993135908,0.3902597402597402,0.03603305785123966,0.8358003033234738,0.07317073170731707
E02000149,5.877700075185432,5.656132699184812,0.3955361251725725,0.023614572208377836,0.8672920189287268,0.17777777777777778
E02000150,5.265514531012974,5.229634244937437,0.41696797520661155,0.05429956970152313,1.4971184244794529,0.16262975778546712
E02000151,5.490857468268284,5.338079257511976,0.3608628659476117,0.03008264462809916,0.6152056016892322,0.3836477987421384
E02000152,5.7911383503152525,5.659893822415041,0.34377038486627526,0.02582514487276392,1.3173979686725261,0.03816793893129771
E02000153,5.411428209973603,5.545217470394449,0.40440653873489696,0.04572940287226002,0.6713712112511585,0.39226519337016574
E02000154,5.698127471686347,5.422642855071994,0.3467136150234742,0.03041666666666667,0.813536736367207,0.19463087248322147
E02000155,5.61631594688954,5.241501337277898,0.3954911433172303,0.03023319615912208,0.5716135516306412,0.49171270718232046
E02000156,5.791805560010131,5.314591934524334,0.44164416441644166,0.04208754208754209,0.7034584487891328,0.2336448598130841
E02000157,5.563128749606564,5.644710298676791,0.46094901267315064,0.0371911745276787,0.9050278371459705,0.1917808219178082
E02000158,5.655627613714433,5.427778161212063,0.4052004333694474,0.02811873441244072,0.6439002890819703,0.3951219512195122
E02000159,5.379605360685549,5.3576304765665554,0.3785021551724138,0.05008917954815696,1.2667359342448563,0.3196480938416422
E02000160,5.443715711107448,4.917823953024098,0.4623811492352212,0.05952950940023621,1.0274681467454636,0.056716417910447764
E02000161,5.6223660803397495,5.229974218261684,0.4649263721552878,0.03524691358024691,1.1064246224320444,0.25
E02000162,5.5967094778444855,5.65172364676114,0.3992908499950753,0.036040882194728355,1.529500874601164,0.04983388704318937
E02000163,5.831011356288953,5.595685693330421,0.42992315996697783,0.02915051433106438,0.9322674736347925,0.12074303405572756
E02000165,5.110390192068926,5.0269034265217325,0.4765111431778099,0.09015393994817864,0.6608983848100589,0.5
E02000166,4.871928094887365,6.476816507386453,0.15967741935483867,0.036250000000000004,1.2635050593674182,0.36507936507936506
E02000167,5.1259338915848,6.384851983354741,0.20480769230769233,0.03476331360946746,1.032351923455872,0.23529411764705882
E02000168,4.59727631626259,6.527608413737771,0.16899766899766902,0.04499540863177226,1.4925627256740575,0.4107142857142857
E02000169,5.088949494087223,6.244157066394633,0.34382284382284384,0.039776462853385944,1.226592991155064,0.04294478527607362
E02000170,5.590494650750184,6.79047665896714,0.22000000000000006,0.023999999999999997,1.1265223150789827,0.15384615384615385
E02000171,4.427287210976627,6.3407589829038695,0.2157575757575758,0.05785123966942149,1.014977640864024,0.03125
E02000172,5.008273244399321,6.163638869725871,0.30653846153846154,0.04094674556213018,1.149405327509199,0.015151515151515152
E02000173,5.2107645737727895,7.012325221400155,0.27134986225895313,0.033516988062442604,2.0868266572975034,0.4567901234567901
E02000174,4.969001629875992,6.554678608196051,0.2024844720496894,0.03686200378071832,0.8869693484732545,0.12195121951219512
E02000175,5.253599663135726,7.356378281597643,0.20374800637958532,0.03293321021852877,0.7954912569021402,0.20279720279720279
